name,price,sum(positive_ratings)
"Back to Bed",4.49,2994
"Black The Fall",10.99,1246
"Altitude0: Lower & Faster",13.99,2656
Ziggurat,10.99,2675
Orborun,4.79,1620
"Knights of Pen and Paper 2",5.59,2736
"Hatoful Boyfriend",6.99,5235
"NS2: Combat",0,2688
"Higurashi When They Cry Hou - Ch.1 Onikakushi",4.79,1383
"The Way of Life Free Edition",0,5251
"Grand Ages: Medieval",14.99,705
"DiRT Rally",24.99,17632
"Super Win the Game",5.59,3066
"NEON STRUCT",11.99,2880
"Geometry Warsâ„¢ 3: Dimensions Evolved",11.99,910
"Onikira - Demon Killer",10.59,2600
"Breach & Clear: Deadline Rebirth (2016)",6.99,1620
"Street Fighter V",15.99,8300
"The Way",10.99,1212
"Rulers of Nations",14.99,3087
"Super Panda Adventures",3.99,2037
"Call of Duty: Black Ops III",44.99,36255
"Zero Escape: Zero Time Dilemma",15.49,1382
"The Guild 3",24.99,2514
"SpellForce 3",39.99,2024
"Naval Action",29.99,3117
"METAL GEAR SOLID V: GROUND ZEROES",16.99,7953
"Vertical Drop Heroes HD",4.99,569
"Assassinâ€™s Creed Rogue",16.99,4303
"Enter the Gungeon",10.99,24947
Sproggiwood,10.99,1464
"DEAD OR ALIVE 5 Last Round: Core Fighters",0,4659
"LEGO Pirates of the Caribbean: The Video Game",15.49,870
"Super Trench Attack!",3.99,992
"Wild Warfare",0,712
"The Fifth Day",10.99,1185
"Spirits of Xanadu",3.99,1666
"Simply Chess",0,1456
"Commander: The Great War",22.99,2565
"Warhammer 40000: Armageddon",29.99,1374
"Order of Battle: World War II",0,1602
"Duck Game",9.99,16769
"Ys VI: The Ark of Napishtim",13.99,1284
"METAL SLUG X",5.59,1544
"Battlezone Gold Edition",29.99,2254
"Sniper Elite 4",39.99,10885
"Strange Brigade",39.99,2658
"FINAL FANTASY IV",10.99,877
"Way of the Samurai 4",18.99,2781
"Fahrenheit: Indigo Prophecy Remastered",6.99,4812
"My Ex-Boyfriend the Space Tyrant",10.99,2888
"Graviteam Tactics: Mius-Front",26.99,1355
"The Expendabros",0,15084
"Cities XXL",7.49,2875
"Soul Gambler",1.99,2089
"The Masterplan",14.99,1860
"Stranded Deep",10.99,15604
"Blackbay Asylum",14.99,2904
"Farming Simulator 15",15.49,10219
"Alpha Zylon",3.99,3116
Mountain,0.79,10936
"Blitzkrieg Anthology",3.99,1980
"Blitzkrieg 2 Anthology",3.99,1776
"Boo Bunny Plague",1.59,1782
"The Solus Project",14.99,1776
"LEGO Batmanâ„¢ 3: Beyond Gotham",19.99,2269
"Sunrider: Mask of Arcadius",0,2375
"Sakura Spirit",6.99,5905
Conarium,14.99,2972
"See No Evil",0.79,2110
"Pool Nation FX Lite",0,777
Boid,0,1608
Morphopolis,2.89,3846
"Guilty Gear X2 #Reload",7.99,1950
"Super Mega Baseball: Extra Innings",15.49,1908
"Microsoft Flight Simulator X: Steam Edition",19.99,8859
Deathsmiles,14.99,1656
Rodina,11.39,2222
"Jet Gunner",0.79,2320
"The Forgotten Ones",0,903
GamersGoMakers,6.19,1812
"Rampage Knights",8.99,2301
"Euro Fishing",14.99,1792
"Oddworld: New 'n' Tasty",14.99,2020
"Mighty No. 9",15.99,1367
Silence,16.99,1044
