genres,release_date,count(genres)
"Indie;Massively Multiplayer;Strategy",2016-11-16,1
Nudity;Violent;Adventure;Casual,2016-07-19,1
Violent;Adventure;Casual,2016-12-15,1
"Adventure;Indie;RPG;Strategy;Early Access",2016-09-22,1
Action;Adventure;Casual;Indie;Racing;Simulation;Sports,2016-08-01,1
Adventure;RPG;Strategy,2016-08-25,1
"Audio Production;Early Access",2016-06-21,1
"Action;Adventure;Casual;Indie;Sports;Early Access",2016-07-21,1
Nudity;Action;Casual;Indie,2016-05-15,1
Adventure;Casual;Indie;RPG;Simulation;Strategy,2016-06-02,1
"Massively Multiplayer;Simulation;Sports;Early Access",2016-07-12,1
"Adventure;Casual;Simulation;Early Access",2016-05-23,1
"Indie;Massively Multiplayer;RPG;Simulation",2016-09-22,1
"Action;Adventure;Casual;Free to Play;Massively Multiplayer;Sports;Early Access",2016-06-28,1
"Adventure;Massively Multiplayer",2016-12-14,1
"Adventure;Indie;Massively Multiplayer;RPG;Simulation;Early Access",2016-06-15,1
"Action;Indie;Massively Multiplayer;Simulation;Strategy;Early Access",2016-06-11,1
"Casual;Free to Play;Simulation;Early Access",2016-08-09,1
"Design & Illustration;Web Publishing",2016-09-07,1
"Sexual Content;Nudity;Adventure;Simulation",2016-07-07,1
"Sexual Content;Nudity;Violent;Gore;Indie;Simulation",2016-06-15,1
"Violent;Gore;Indie;Early Access",2016-12-17,1
"Action;Racing;Early Access",2016-11-15,1
"Adventure;Indie;Massively Multiplayer",2016-10-26,1
"Animation & Modeling;Utilities",2016-12-26,1
Action;Racing;Simulation;Sports,2016-06-07,1
"Action;Free to Play;Indie;Massively Multiplayer;RPG;Early Access",2016-11-18,1
Casual;RPG;Simulation;Strategy,2016-12-06,1
"Casual;Indie;Racing;Early Access",2016-06-30,1
"Action;Free to Play;Indie;Strategy;Early Access",2016-12-02,1
"Action;Adventure;Casual;Indie;Massively Multiplayer;Strategy",2016-07-05,1
Adventure;Casual;Indie;Racing;Simulation;Sports,2016-06-16,1
Violent;Gore;Action,2016-12-15,1
"Action;Adventure;Indie;Sports;Early Access",2016-07-04,1
"Action;Adventure;Casual;Indie;RPG;Simulation;Early Access",2016-12-18,1
"Indie;Sports;Early Access",2016-08-24,1
"Animation & Modeling;Design & Illustration;Utilities",2016-12-15,1
Action;Adventure;Casual;Indie;Sports,2016-10-14,1
"Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG",2016-07-07,1
"Action;Adventure;Free to Play;Massively Multiplayer;RPG;Strategy",2016-08-29,1
Action;Indie;Racing;Simulation;Sports;Strategy,2016-07-15,1
"Indie;Racing;Simulation;Sports;Early Access",2016-07-22,1
"Sexual Content;Nudity;Action;Indie",2016-11-26,1
"Action;Casual;Massively Multiplayer",2016-08-14,1
"Education;Early Access",2016-09-26,1
Action;Adventure;Casual;Racing,2016-07-28,1
"Casual;Free to Play;Massively Multiplayer;RPG;Simulation;Strategy",2016-08-15,1
"Design & Illustration;Utilities;Video Production",2016-07-26,1
"Sexual Content;Adventure;Casual;Indie",2016-10-06,1
"Violent;Gore;Adventure;Indie;RPG;Early Access",2016-10-31,1
"Action;Free to Play;Racing;Sports",2016-09-27,1
Adventure;Casual;Indie;Racing,2016-08-03,1
"Free to Play;Indie;Sports;Strategy",2016-09-16,1
"Action;Adventure;Free to Play;Indie;RPG",2016-10-03,1
Action;Casual;RPG,2016-08-11,1
"Sexual Content;Casual;Indie;Simulation",2016-12-05,1
"Action;Casual;Simulation;Early Access",2016-08-15,1
"Utilities;Early Access",2016-08-17,1
"Action;Adventure;Free to Play;Indie;Simulation;Strategy",2016-08-24,1
"Action;Adventure;Racing;Early Access",2016-08-22,1
"Adventure;Casual;Early Access",2016-08-01,1
"Action;Adventure;Free to Play;Indie;Massively Multiplayer",2016-10-07,1
"Adventure;Casual;Indie;RPG;Strategy;Early Access",2016-08-22,1
"Action;Adventure;Casual;Free to Play;Indie;Early Access",2016-09-29,1
"Action;Casual;Strategy;Early Access",2016-10-06,1
"Early Access",2016-08-15,1
"Action;Casual;Indie;Massively Multiplayer;Simulation;Strategy;Early Access",2016-08-25,1
"Casual;RPG;Strategy;Early Access",2016-10-03,1
"Adventure;Casual;RPG;Early Access",2016-09-26,1
"Action;Adventure;Strategy;Early Access",2016-09-16,1
"Indie;Racing;Simulation;Early Access",2016-10-24,1
"Animation & Modeling;Design & Illustration;Utilities;Video Production;Early Access",2016-08-25,1
Violent;Gore;Action;Indie;Simulation,2016-12-05,1
"Racing;Simulation;Early Access",2016-10-25,1
"Accounting;Animation & Modeling;Audio Production;Design & Illustration;Education;Photo Editing;Software Training;Utilities;Video Production;Web Publishing",2016-11-30,1
"Casual;Free to Play;Indie;Simulation;Sports",2016-09-15,1
Violent;Indie,2016-09-02,1
"Action;Adventure;Indie;Massively Multiplayer;RPG",2016-09-13,1
"Animation & Modeling;Design & Illustration;Utilities;Video Production",2016-09-19,1
"Racing;Early Access",2016-09-15,1
"Action;Indie;Racing;Sports;Early Access",2016-09-22,1
Violent;Action;Adventure,2016-10-31,1
Action;Indie;Simulation;Sports;Strategy,2016-09-23,1
"Adventure;Casual;Free to Play;Indie;Early Access",2016-09-14,1
Action;Casual;Simulation;Sports;Strategy,2016-11-25,1
"Action;Adventure;Casual;RPG;Simulation;Strategy;Early Access",2016-09-30,1
Violent;Action;Casual;Indie;Simulation;Strategy,2016-09-26,1
"Animation & Modeling;Design & Illustration",2016-10-28,1
"Action;Adventure;Casual;Indie;Massively Multiplayer;Simulation;Strategy",2016-09-29,1
"Action;Casual;Indie;Massively Multiplayer",2016-11-25,1
"Nudity;Violent;Free to Play;Indie;RPG;Simulation;Strategy",2016-09-30,1
"Violent;Gore;Action;Indie;RPG;Early Access",2016-12-09,1
"Nudity;Casual;Free to Play",2016-12-15,1
"Violent;Action;Casual;Indie;Strategy;Early Access",2016-10-03,1
"Sexual Content;Nudity;Adventure;Casual;Indie;Simulation",2016-09-30,1
Indie;Racing;Simulation;Strategy,2016-12-20,1
"Free to Play;Simulation;Early Access",2016-11-03,1
"Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG",2016-11-03,1
Action;Adventure;Casual;Indie;RPG;Sports,2016-12-19,1
